from,indexvertexfrom,to,indexvertexto,altname,unixtimestamp,date,open,high,low,close,vwap,volume,count
OMNI,333,USD,490,OMNIUSD,1761868800,2025-10-31,1.969,1.969,1.969,1.969,0.000,0.00000,0
OM,331,USD,490,OMUSD,1761868800,2025-10-31,0.1021,0.1189,0.1021,0.1046,0.1081,1256684.33041,1662
ONDO,334,EUR,167,ONDOEUR,1761868800,2025-10-31,0.59572,0.60662,0.58419,0.59552,0.59062,176415.67185,337
ONDO,334,USD,490,ONDOUSD,1761868800,2025-10-31,0.68930,0.70345,0.67213,0.68763,0.68893,593313.46066,1574
OPEN,336,EUR,167,OPENEUR,1761868800,2025-10-31,0.2941,0.2999,0.2886,0.2992,0.2942,4394.97104,23
OPEN,336,USD,490,OPENUSD,1761868800,2025-10-31,0.3327,0.3494,0.3305,0.3422,0.3417,124715.05984,230
OP,335,EUR,167,OPEUR,1761868800,2025-10-31,0.3498,0.3522,0.3377,0.3450,0.3462,49954.48250,87
OP,335,USD,490,OPUSD,1761868800,2025-10-31,0.3998,0.4084,0.3891,0.3983,0.4006,331589.05691,783
ORCA,337,EUR,167,ORCAEUR,1761868800,2025-10-31,1.266,1.294,1.250,1.284,1.275,2230.88735681,35
ORCA,337,USD,490,ORCAUSD,1761868800,2025-10-31,1.454,1.494,1.448,1.475,1.468,18264.12561586,184
ORDER,338,EUR,167,ORDEREUR,1761868800,2025-10-31,0.18663,0.19202,0.17629,0.19202,0.18671,4913.86717,17
ORDER,338,USD,490,ORDERUSD,1761868800,2025-10-31,0.21203,0.21999,0.20960,0.21999,0.21687,35394.30391,42
OSMO,339,EUR,167,OSMOEUR,1761868800,2025-10-31,0.0966,0.1003,0.0945,0.0945,0.0969,18825.54656,29
OSMO,339,USD,490,OSMOUSD,1761868800,2025-10-31,0.1115,0.1141,0.1100,0.1110,0.1124,79984.88311,149
OXT,340,EUR,167,OXTEUR,1761868800,2025-10-31,0.03280,0.03335,0.03273,0.03329,0.03319,185829.28775861,39
OXT,340,USD,490,OXTUSD,1761868800,2025-10-31,0.03756,0.03894,0.03756,0.03840,0.03821,96852.74938162,81
OXY,341,EUR,167,OXYEUR,1761868800,2025-10-31,0.00513,0.00523,0.00432,0.00480,0.00468,1337318.24925603,204
OXY,341,USD,490,OXYUSD,1761868800,2025-10-31,0.00585,0.00619,0.00462,0.00497,0.00539,420870.19151775,57
PARTI,342,EUR,167,PARTIEUR,1761868800,2025-10-31,0.0555,0.0569,0.0555,0.0569,0.0561,20117.38010,12
PARTI,342,USD,490,PARTIUSD,1761868800,2025-10-31,0.0651,0.0657,0.0638,0.0657,0.0647,45132.73388,23
PAXG,343,ETH,163,PAXGETH,1761868800,2025-10-31,1.064000,1.064000,1.023855,1.043334,1.040971,3.93866303,57
PAXG,343,EUR,167,PAXGEUR,1761868800,2025-10-31,3485.35,3488.05,3446.72,3463.50,3462.07,49.37156637,515
PAXG,343,USD,490,PAXGUSD,1761868800,2025-10-31,4034.42,4034.67,3973.80,3995.32,4004.02,217.40620013,1419
PAXG,343,XBT,529,PAXGXBT,1761868800,2025-10-31,0.037282,0.037282,0.036138,0.036485,0.036503,81.87052766,290
PDA,344,EUR,167,PDAEUR,1761868800,2025-10-31,0.00247,0.00266,0.00247,0.00261,0.00255,64069.79145,6
PDA,344,USD,490,PDAUSD,1761868800,2025-10-31,0.00280,0.00301,0.00280,0.00282,0.00287,270244.34191,22
PEAQ,345,EUR,167,PEAQEUR,1761868800,2025-10-31,0.06897,0.07425,0.06764,0.06949,0.07018,466444.23073,725
PEAQ,345,USD,490,PEAQUSD,1761868800,2025-10-31,0.07991,0.08609,0.07815,0.08018,0.08201,1326213.85781,2444
PEAQ,345,USDC,492,PEAQUSDC,1761868800,2025-10-31,0.07980,0.08605,0.07829,0.08000,0.08279,102139.79937,893
PENDLE,346,EUR,167,PENDLEEUR,1761868800,2025-10-31,2.637,2.746,2.609,2.654,2.653,1235.96916,101
PENDLE,346,USD,490,PENDLEUSD,1761868800,2025-10-31,3.043,3.134,2.994,3.071,3.081,12871.70780,472
PENGU,347,EUR,167,PENGUEUR,1761868800,2025-10-31,0.016033,0.016510,0.015244,0.015697,0.015736,3886069.31862,541
PENGU,347,USD,490,PENGUUSD,1761868800,2025-10-31,0.018536,0.019136,0.017518,0.018167,0.018444,65981481.90487,3789
PENGU,347,USDC,492,PENGUUSDC,1761868800,2025-10-31,0.018543,0.019104,0.017597,0.018130,0.018767,735283.62696,133
PENGU,347,USDT,499,PENGUUSDT,1761868800,2025-10-31,0.018558,0.019111,0.017653,0.018076,0.018690,2204832.63779,477
PEPE,348,AUD,54,PEPEAUD,1761868800,2025-10-31,0.000009799,0.000010256,0.000009799,0.000010160,0.000009907,632499643.79165,25
PEPE,348,CAD,97,PEPECAD,1761868800,2025-10-31,0.000009008,0.000009296,0.000009008,0.000009168,0.000009139,1670030669.86622,86
PEPE,348,EUR,167,PEPEEUR,1761868800,2025-10-31,0.000005564,0.000005762,0.000005560,0.000005696,0.000005650,21473646135.03524,1394
PEPE,348,GBP,194,PEPEGBP,1761868800,2025-10-31,0.000004894,0.000005077,0.000004886,0.000004981,0.000004954,8811749641.86840,103
PEPE,348,USD,490,PEPEUSD,1761868800,2025-10-31,0.000006434,0.000006650,0.000006414,0.000006574,0.000006519,96422035695.36566,2358
PERP,349,EUR,167,PERPEUR,1761868800,2025-10-31,0.1631,0.1786,0.1582,0.1637,0.1707,256969.88410844,378
PERP,349,USD,490,PERPUSD,1761868800,2025-10-31,0.1910,0.2076,0.1822,0.1874,0.1954,426063.92078383,1045
PHA,350,EUR,167,PHAEUR,1761868800,2025-10-31,0.0477,0.0481,0.0466,0.0471,0.0472,49914.81306453,27
PHA,350,USD,490,PHAUSD,1761868800,2025-10-31,0.0542,0.0559,0.0534,0.0546,0.0547,268702.83612948,1405
PIPE,351,EUR,167,PIPEEUR,1761868800,2025-10-31,0.06894,0.09399,0.06865,0.09399,0.06951,14171.90071,12
PIPE,351,USD,490,PIPEUSD,1761868800,2025-10-31,0.07970,0.07970,0.07893,0.07893,0.07964,963.88446,5
PLAY,352,EUR,167,PLAYEUR,1761868800,2025-10-31,0.021595,0.022431,0.021595,0.022119,0.022160,76569.59126,103
PLAY,352,USD,490,PLAYUSD,1761868800,2025-10-31,0.025003,0.026172,0.024474,0.025273,0.025362,1276356.23520,464
PLUME,353,EUR,167,PLUMEEUR,1761868800,2025-10-31,0.05256,0.05363,0.04933,0.05116,0.05223,1678870.81920,1062
PLUME,353,USD,490,PLUMEUSD,1761868800,2025-10-31,0.06076,0.06192,0.05693,0.05897,0.05997,1737716.72240,1228
PNUT,354,EUR,167,PNUTEUR,1761868800,2025-10-31,0.1052,0.1103,0.1052,0.1083,0.1082,60046.63415,43
PNUT,354,USD,490,PNUTUSD,1761868800,2025-10-31,0.1214,0.1273,0.1214,0.1248,0.1244,1630216.91222,555
POL,355,EUR,167,POLEUR,1761868800,2025-10-31,0.15944,0.16433,0.15659,0.15951,0.16155,616028.17423,453
POLIS,356,EUR,167,POLISEUR,1761868800,2025-10-31,0.0443,0.0451,0.0419,0.0436,0.0436,42195.82212021,76
POLIS,356,USD,490,POLISUSD,1761868800,2025-10-31,0.0512,0.0517,0.0488,0.0499,0.0509,167056.79347790,226
POLS,357,EUR,167,POLSEUR,1761868800,2025-10-31,0.1172,0.1316,0.1172,0.1315,0.1308,5253.19007479,17
POLS,357,USD,490,POLSUSD,1761868800,2025-10-31,0.1392,0.1611,0.1392,0.1447,0.1521,42608.79331483,174
POL,355,USD,490,POLUSD,1761868800,2025-10-31,0.18452,0.19028,0.18007,0.18403,0.18605,1520799.79965,1207
POND,358,EUR,167,PONDEUR,1761868800,2025-10-31,0.004742,0.004742,0.004742,0.004742,0.004742,28440.46290000,1
POND,358,USD,490,PONDUSD,1761868800,2025-10-31,0.005561,0.005583,0.005433,0.005444,0.005502,982740.48754771,46
PONKE,359,EUR,167,PONKEEUR,1761868800,2025-10-31,0.04966,0.05082,0.04847,0.04916,0.04954,204788.30890,74
PONKE,359,USD,490,PONKEUSD,1761868800,2025-10-31,0.05614,0.05872,0.05596,0.05683,0.05724,209629.29150,98
POPCAT,360,EUR,167,POPCATEUR,1761868800,2025-10-31,0.1202,0.1239,0.1189,0.1219,0.1220,138202.59991,96
POPCAT,360,GBP,194,POPCATGBP,1761868800,2025-10-31,0.1064,0.1086,0.1046,0.1071,0.1062,36259.85388,17
POPCAT,360,USD,490,POPCATUSD,1761868800,2025-10-31,0.1395,0.1438,0.1354,0.1407,0.1402,1188377.55494,687
PORTAL,361,EUR,167,PORTALEUR,1761868800,2025-10-31,0.02037,0.02130,0.02030,0.02111,0.02086,71803.49607,34
PORTAL,361,USD,490,PORTALUSD,1761868800,2025-10-31,0.02306,0.02460,0.02297,0.02439,0.02391,181642.08209,75
POWR,362,EUR,167,POWREUR,1761868800,2025-10-31,0.0912,0.0936,0.0912,0.0936,0.0926,15858.47099166,17
POWR,362,USD,490,POWRUSD,1761868800,2025-10-31,0.1062,0.1082,0.1055,0.1079,0.1070,158831.52932744,41
PRCL,363,EUR,167,PRCLEUR,1761868800,2025-10-31,0.0356,0.0377,0.0352,0.0367,0.0367,59570.44797,62
PRCL,363,USD,490,PRCLUSD,1761868800,2025-10-31,0.0405,0.0435,0.0405,0.0421,0.0419,162223.88893,156
PRIME,364,EUR,167,PRIMEEUR,1761868800,2025-10-31,0.889,0.960,0.873,0.924,0.901,11599.13729,486
PRIME,364,USD,490,PRIMEUSD,1761868800,2025-10-31,1.021,1.096,1.009,1.070,1.049,37463.18525,540
PRO,365,EUR,167,PROEUR,1761868800,2025-10-31,0.4920,0.5009,0.4784,0.4826,0.4929,1986.93283,62
PROMPT,366,EUR,167,PROMPTEUR,1761868800,2025-10-31,0.06736,0.07016,0.06563,0.06650,0.06734,6758.20983,16
PROMPT,366,USD,490,PROMPTUSD,1761868800,2025-10-31,0.07683,0.08124,0.07499,0.07801,0.07857,11962.42687,75
PRO,365,USD,490,PROUSD,1761868800,2025-10-31,0.5703,0.5836,0.5502,0.5562,0.5717,17202.44608,299
PROVE,367,EUR,167,PROVEEUR,1761868800,2025-10-31,0.5926,0.6019,0.5599,0.5703,0.5899,10316.02565,182
PROVE,367,USD,490,PROVEUSD,1761868800,2025-10-31,0.6843,0.6951,0.6457,0.6576,0.6775,59755.83129,1130
PSTAKE,368,EUR,167,PSTAKEEUR,1761868800,2025-10-31,0.01141,0.01281,0.01141,0.01143,0.01227,179135.23842543,32
PSTAKE,368,USD,490,PSTAKEUSD,1761868800,2025-10-31,0.01324,0.01461,0.01273,0.01316,0.01449,112020.20476948,20
PTB,369,EUR,167,PTBEUR,1761868800,2025-10-31,0.02447,0.02699,0.02399,0.02607,0.02528,859741.77593,78
PTB,369,USD,490,PTBUSD,1761868800,2025-10-31,0.02857,0.03081,0.02800,0.02997,0.02962,4222420.45388,1508
PUFFER,370,EUR,167,PUFFEREUR,1761868800,2025-10-31,0.08147,0.08929,0.07820,0.08050,0.08440,61628.65091,202
PUFFER,370,USD,490,PUFFERUSD,1761868800,2025-10-31,0.09549,0.10223,0.09000,0.09292,0.09657,255850.84205,304
PUMP,371,EUR,167,PUMPEUR,1761868800,2025-10-31,0.003814,0.004127,0.003613,0.004127,0.003825,145884992.41481,1745
PUMP,371,SOL,427,PUMPSOL,1761868800,2025-10-31,0.00002367,0.00002453,0.00002265,0.00002453,0.00002327,1685532.88907,26
PUMP,371,USD,490,PUMPUSD,1761868800,2025-10-31,0.004404,0.004765,0.004163,0.004731,0.004403,1342339633.07879,6729
PUPS,372,EUR,167,PUPSEUR,1761868800,2025-10-31,0.00652,0.00661,0.00647,0.00661,0.00655,42195.23945,34
PUPS,372,USD,490,PUPSUSD,1761868800,2025-10-31,0.00758,0.00770,0.00743,0.00762,0.00757,1192743.15978,240
PYTH,373,EUR,167,PYTHEUR,1761868800,2025-10-31,0.08845,0.09311,0.08825,0.09162,0.08967,215526.36449,100
PYTH,373,USD,490,PYTHUSD,1761868800,2025-10-31,0.10234,0.10728,0.10187,0.10539,0.10386,740561.74811,557
PYUSD,374,EUR,167,PYUSDEUR,1761868800,2025-10-31,0.8654,0.8677,0.8636,0.8660,0.8662,246.91768,18
PYUSD,374,USD,490,PYUSDUSD,1761868800,2025-10-31,1.0001,1.0003,0.9998,1.0002,1.0000,102762.00078,278
Q,375,EUR,167,QEUR,1761868800,2025-10-31,0.023933,0.023933,0.023933,0.023933,0.000000,0.00000,0
QI,376,EUR,167,QIEUR,1761868800,2025-10-31,0.004129,0.004213,0.004129,0.004213,0.004211,68149.79420,7
QI,376,USD,490,QIUSD,1761868800,2025-10-31,0.004693,0.005007,0.004693,0.004871,0.004947,156180.67000,11
QNT,377,EUR,167,QNTEUR,1761868800,2025-10-31,67.92,70.86,67.84,68.94,69.25,695.30617932,260
QNT,377,USD,490,QNTUSD,1761868800,2025-10-31,78.58,81.93,78.17,79.62,79.63,1859.14920652,892
QTUM,378,EUR,167,QTUMEUR,1761868800,2025-10-31,1.56418,1.61508,1.56418,1.60620,1.58802,1561.21989305,16
QTUM,378,USD,490,QTUMUSD,1761868800,2025-10-31,1.81994,1.85994,1.80942,1.85450,1.83270,2052.97646146,41
Q,375,USD,490,QUSD,1761868800,2025-10-31,0.023304,0.024031,0.022201,0.022568,0.023081,762883.56829,106
RAD,379,EUR,167,RADEUR,1761868800,2025-10-31,0.395,0.403,0.394,0.397,0.397,9321.13226827,32
RAD,379,USD,490,RADUSD,1761868800,2025-10-31,0.457,0.467,0.455,0.456,0.459,9347.12905662,83
RAIIN,380,EUR,167,RAIINEUR,1761868800,2025-10-31,0.00433,0.00520,0.00420,0.00520,0.00467,397834.00813,38
RAIIN,380,USD,490,RAIINUSD,1761868800,2025-10-31,0.00482,0.00812,0.00461,0.00636,0.00508,2074815.55490,258
RARE,381,EUR,167,RAREEUR,1761868800,2025-10-31,0.0282,0.0293,0.0282,0.0288,0.0287,45436.42469867,24
RARE,381,USD,490,RAREUSD,1761868800,2025-10-31,0.0324,0.0338,0.0323,0.0332,0.0330,726746.60600658,145
RARI,382,EUR,167,RARIEUR,1761868800,2025-10-31,0.470,0.553,0.462,0.482,0.501,10539.29743556,228
RARI,382,USD,490,RARIUSD,1761868800,2025-10-31,0.545,0.632,0.536,0.547,0.568,179207.08893906,2035
RAY,383,EUR,167,RAYEUR,1761868800,2025-10-31,1.421,1.470,1.399,1.428,1.444,10164.30611923,46
RAY,383,USD,490,RAYUSD,1761868800,2025-10-31,1.642,1.686,1.611,1.642,1.662,62181.12748506,218
RBC,384,EUR,167,RBCEUR,1761868800,2025-10-31,0.00665,0.00731,0.00650,0.00699,0.00664,20835.00000000,8
RBC,384,USD,490,RBCUSD,1761868800,2025-10-31,0.00788,0.00800,0.00762,0.00800,0.00783,40052.28242090,16
RED,385,EUR,167,REDEUR,1761868800,2025-10-31,0.2730,0.2795,0.2715,0.2761,0.2736,3339.46285,17
RED,385,USD,490,REDUSD,1761868800,2025-10-31,0.3132,0.3233,0.3112,0.3205,0.3165,4742.90438,42
REKT,386,EUR,167,REKTEUR,1761868800,2025-10-31,0.0000004854,0.0000005193,0.0000004708,0.0000004901,0.0000004956,7922930283.76808,133
REKT,386,USD,490,REKTUSD,1761868800,2025-10-31,0.0000005633,0.0000006068,0.0000005407,0.0000005665,0.0000005695,86451938505.84810,633
RENDER,388,EUR,167,RENDEREUR,1761868800,2025-10-31,1.930,1.995,1.898,1.926,1.945,41093.89920,261
RENDER,388,USD,490,RENDERUSD,1761868800,2025-10-31,2.235,2.301,2.184,2.226,2.227,168325.11568,1305
REN,387,EUR,167,RENEUR,1761868800,2025-10-31,0.00493,0.00500,0.00456,0.00476,0.00476,274808.21231075,54
REN,387,USD,490,RENUSD,1761868800,2025-10-31,0.00582,0.00589,0.00521,0.00551,0.00554,1182596.57554267,354
REPV2,390,EUR,167,REPV2EUR,1761868800,2025-10-31,1.479,1.807,1.479,1.807,1.653,2558.87341520,66
REPV2,390,USD,490,REPV2USD,1761868800,2025-10-31,1.710,1.999,1.664,1.995,1.840,24477.66354996,827
REQ,391,EUR,167,REQEUR,1761868800,2025-10-31,0.10701,0.10726,0.10550,0.10619,0.10661,23902.48416349,39
REQ,391,USD,490,REQUSD,1761868800,2025-10-31,0.12337,0.12360,0.12209,0.12249,0.12305,8666.15691821,18
RETARDIO,392,EUR,167,RETARDIOEUR,1761868800,2025-10-31,0.004007,0.004305,0.003943,0.004256,0.004152,1434216.21084,155
RETARDIO,392,USD,490,RETARDIOUSD,1761868800,2025-10-31,0.004800,0.005066,0.004543,0.004883,0.004835,1806838.42272,134
REZ,393,EUR,167,REZEUR,1761868800,2025-10-31,0.00727,0.00735,0.00713,0.00722,0.00723,141523.84398,42
REZ,393,USD,490,REZUSD,1761868800,2025-10-31,0.00848,0.00859,0.00817,0.00838,0.00835,449875.81522,57
RHEA,394,EUR,167,RHEAEUR,1761868800,2025-10-31,0.01843,0.01843,0.01758,0.01769,0.01806,49634.13344,13
RHEA,394,USD,490,RHEAUSD,1761868800,2025-10-31,0.02130,0.02131,0.02021,0.02041,0.02087,133541.48192,39
RIZE,395,EUR,167,RIZEEUR,1761868800,2025-10-31,0.011200,0.011900,0.010800,0.011340,0.011353,1950627.00954,277
RIZE,395,USD,490,RIZEUSD,1761868800,2025-10-31,0.012950,0.013884,0.012260,0.013180,0.013142,15077751.82468,1198
RLC,396,EUR,167,RLCEUR,1761868800,2025-10-31,0.6916,0.7302,0.6916,0.7167,0.7116,1166.40790648,16
RLC,396,USD,490,RLCUSD,1761868800,2025-10-31,0.7999,0.8366,0.7999,0.8294,0.8256,5310.35136105,30
RLUSD,397,EUR,167,RLUSDEUR,0,1970-01-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
RLUSD,397,USD,490,RLUSDUSD,1761868800,2025-10-31,0.99991,1.00003,0.99950,0.99969,0.99977,4132288.01833,1381
RLUSD,397,USDC,492,RLUSDUSDC,1761868800,2025-10-31,1.00000,1.00011,0.99970,1.00000,0.99992,1580449.54121,489
RLUSD,397,USDT,499,RLUSDUSDT,1761868800,2025-10-31,1.00000,1.00051,0.99979,1.00030,1.00029,4067272.57476,1221
ROOK,398,EUR,167,ROOKEUR,1761868800,2025-10-31,0.260,0.299,0.236,0.238,0.273,8692.87464288,63
ROOK,398,USD,490,ROOKUSD,1761868800,2025-10-31,0.300,0.366,0.275,0.320,0.318,10622.25722783,76
RPL,399,EUR,167,RPLEUR,1761868800,2025-10-31,2.785,2.900,2.772,2.830,2.808,378.36837168,9
RPL,399,USD,490,RPLUSD,1761868800,2025-10-31,3.164,3.316,3.164,3.261,3.256,1880.60463901,37
RSR,400,EUR,167,RSREUR,1761868800,2025-10-31,0.004370,0.005016,0.004370,0.004847,0.004678,1557136.34046,40
RSR,400,USD,490,RSRUSD,1761868800,2025-10-31,0.005039,0.005785,0.005039,0.005588,0.005490,23790312.96088,341
RUJI,401,EUR,167,RUJIEUR,1761868800,2025-10-31,0.4518,0.4821,0.4516,0.4692,0.4653,55529.23823,467
RUJI,401,USD,490,RUJIUSD,1761868800,2025-10-31,0.5226,0.5548,0.5226,0.5414,0.5308,21904.67843,557
RUNE,402,EUR,167,RUNEEUR,1761868800,2025-10-31,0.719,0.737,0.719,0.733,0.731,40465.08246459,58
RUNE,402,USD,490,RUNEUSD,1761868800,2025-10-31,0.831,0.853,0.829,0.847,0.842,53802.38732546,118
SAFE,404,EUR,167,SAFEEUR,1761868800,2025-10-31,0.1956,0.2012,0.1955,0.1992,0.1976,2674.75979,11
SAFE,404,USD,490,SAFEUSD,1761868800,2025-10-31,0.2270,0.2328,0.2249,0.2293,0.2282,50016.03614,117
SAGA,405,EUR,167,SAGAEUR,1761868800,2025-10-31,0.0826,0.0835,0.0806,0.0813,0.0816,11038.58038,14
SAGA,405,USD,490,SAGAUSD,1761868800,2025-10-31,0.0938,0.0963,0.0925,0.0940,0.0943,63357.90985,492
SAHARA,406,EUR,167,SAHARAEUR,1761868800,2025-10-31,0.06397,0.06478,0.06349,0.06445,0.06404,53063.47161,13
SAHARA,406,USD,490,SAHARAUSD,1761868800,2025-10-31,0.07419,0.07458,0.07319,0.07431,0.07394,121092.83379,20
SAMO,407,EUR,167,SAMOEUR,1761868800,2025-10-31,0.000751,0.000920,0.000746,0.000784,0.000789,4205362.45435566,70
SAMO,407,USD,490,SAMOUSD,1761868800,2025-10-31,0.000873,0.000950,0.000850,0.000902,0.000901,4946293.95077693,159
SAND,408,EUR,167,SANDEUR,1761868800,2025-10-31,0.1702,0.1774,0.1702,0.1738,0.1731,135705.65406575,142
SAND,408,GBP,194,SANDGBP,1761868800,2025-10-31,0.1509,0.1573,0.1509,0.1546,0.1521,16399.89720491,31
SAND,408,USD,490,SANDUSD,1761868800,2025-10-31,0.1971,0.2044,0.1970,0.2014,0.2008,312334.65327679,987
SAND,408,XBT,529,SANDXBT,1761868800,2025-10-31,0.000001830,0.000001842,0.000001821,0.000001821,0.000001828,1005.31478261,4
SAPIEN,409,EUR,167,SAPIENEUR,1761868800,2025-10-31,0.13829,0.15650,0.13329,0.13801,0.14460,957574.34811,2496
SAPIEN,409,USD,490,SAPIENUSD,1761868800,2025-10-31,0.16016,0.17907,0.15389,0.15930,0.16715,2927559.84270,6337
SAROS,410,EUR,167,SAROSEUR,1761868800,2025-10-31,0.0475,0.0760,0.0440,0.0445,0.0462,47728.11508,31
SAROS,410,USD,490,SAROSUSD,1761868800,2025-10-31,0.0548,0.0592,0.0503,0.0523,0.0541,320185.08783,414
SBR,411,EUR,167,SBREUR,1761868800,2025-10-31,0.000733,0.000770,0.000733,0.000741,0.000744,828316.56913432,9
SBR,411,USD,490,SBRUSD,1761868800,2025-10-31,0.000849,0.000900,0.000848,0.000866,0.000875,2209786.99637953,82
SCA,413,EUR,167,SCAEUR,1761868800,2025-10-31,0.0580,0.0590,0.0580,0.0590,0.0587,361.86406,5
SCA,413,USD,490,SCAUSD,1761868800,2025-10-31,0.0672,0.0697,0.0671,0.0687,0.0686,19384.36452,22
SC,412,EUR,167,SCEUR,1761868800,2025-10-31,0.001655,0.001681,0.001635,0.001645,0.001661,13975342.66058628,222
SCRT,414,EUR,167,SCRTEUR,1761868800,2025-10-31,0.1236,0.1253,0.1215,0.1220,0.1231,95658.75597117,104
SCRT,414,USD,490,SCRTUSD,1761868800,2025-10-31,0.1416,0.1445,0.1398,0.1410,0.1425,257738.10908500,471
SC,412,USD,490,SCUSD,1761868800,2025-10-31,0.001914,0.001941,0.001884,0.001905,0.001905,88872078.02786113,1564
SC,412,XBT,529,SCXBT,1761868800,2025-10-31,0.0000000177,0.0000000177,0.0000000173,0.0000000173,0.0000000174,1742138.07328624,38
SDN,415,EUR,167,SDNEUR,1761868800,2025-10-31,0.0251,0.0266,0.0248,0.0266,0.0250,40903.55274577,60
SDN,415,USD,490,SDNUSD,1761868800,2025-10-31,0.0289,0.0303,0.0286,0.0302,0.0288,53812.69508651,57
SEI,416,EUR,167,SEIEUR,1761868800,2025-10-31,0.15961,0.17017,0.15884,0.16575,0.16387,521421.55249,282
SEI,416,USD,490,SEIUSD,1761868800,2025-10-31,0.18440,0.19611,0.18378,0.19119,0.18937,4042045.17802,1521
S,403,EUR,167,SEUR,1761868800,2025-10-31,0.1255,0.1261,0.1188,0.1200,0.1214,571104.45816,275
SGB,417,EUR,167,SGBEUR,1761868800,2025-10-31,0.00256,0.00268,0.00254,0.00261,0.00261,1497119.63256578,102
SGB,417,USD,490,SGBUSD,1761868800,2025-10-31,0.00296,0.00311,0.00292,0.00302,0.00303,9678194.13671363,405
SHIB,418,EUR,167,SHIBEUR,1761868800,2025-10-31,0.00000841,0.00000871,0.00000841,0.00000866,0.00000855,2300331297.62233,356
SHIB,418,USD,490,SHIBUSD,1761868800,2025-10-31,0.00000972,0.00001006,0.00000970,0.00001000,0.00000987,24613589767.96152,1320
SHIB,418,USDC,492,SHIBUSDC,1761868800,2025-10-31,0.00000971,0.00001004,0.00000971,0.00000994,0.00000995,980633595.63862,52
SHIB,418,USDT,499,SHIBUSDT,1761868800,2025-10-31,0.00000981,0.00001001,0.00000980,0.00000994,0.00000989,1573510241.31946,116
SHX,419,EUR,167,SHXEUR,1761868800,2025-10-31,0.010239,0.010913,0.010151,0.010812,0.010507,1366009.22979,181
SHX,419,USD,490,SHXUSD,1761868800,2025-10-31,0.011806,0.014884,0.011625,0.012540,0.012170,5594045.33764,701
SIDEKICK,420,EUR,167,SIDEKICKEUR,1761868800,2025-10-31,0.03100,0.03100,0.02726,0.02756,0.02913,41177.54204,19
SIDEKICK,420,USD,490,SIDEKICKUSD,1761868800,2025-10-31,0.03025,0.03494,0.02902,0.03012,0.03262,73978.68848,45
SIDEKICK,420,USDT,499,SIDEKICKUSDT,1761868800,2025-10-31,0.02990,0.03628,0.02957,0.03056,0.03287,479294.93704,225
SIGMA,421,EUR,167,SIGMAEUR,1761868800,2025-10-31,0.00569,0.00569,0.00553,0.00553,0.00561,1404.07422,4
SIGMA,421,USD,490,SIGMAUSD,1761868800,2025-10-31,0.00631,0.00658,0.00610,0.00641,0.00643,87719.14713,24
SKY,422,EUR,167,SKYEUR,1761868800,2025-10-31,0.04968,0.04981,0.04802,0.04914,0.04887,298929.96681,104
SKY,422,USD,490,SKYUSD,1761868800,2025-10-31,0.05748,0.05769,0.05555,0.05691,0.05666,1153287.07248,579
SLAY,423,EUR,167,SLAYEUR,1761868800,2025-10-31,0.0109,0.0109,0.0101,0.0101,0.0103,113184.77252,15
SLAY,423,USD,490,SLAYUSD,1761868800,2025-10-31,0.0121,0.0125,0.0115,0.0116,0.0120,293545.49954,102
SNEK,424,EUR,167,SNEKEUR,1761868800,2025-10-31,0.001897,0.002092,0.001885,0.002063,0.001932,3195501.33030,68
SNEK,424,USD,490,SNEKUSD,1761868800,2025-10-31,0.002187,0.002405,0.002187,0.002292,0.002278,29502880.32200,403
SNX,425,EUR,167,SNXEUR,1761868800,2025-10-31,0.871,0.882,0.840,0.868,0.859,97195.35517854,887
SNX,425,USD,490,SNXUSD,1761868800,2025-10-31,1.005,1.023,0.967,0.997,0.996,189467.65976064,753
SNX,425,XBT,529,SNXXBT,1761868800,2025-10-31,0.00000926,0.00000926,0.00000889,0.00000910,0.00000906,3070.42105254,24
SOGNI,426,EUR,167,SOGNIEUR,1761868800,2025-10-31,0.004077,0.004117,0.004077,0.004112,0.004095,63651.63063,9
SOGNI,426,USD,490,SOGNIUSD,1761868800,2025-10-31,0.004712,0.004751,0.004680,0.004750,0.004716,223801.30194,18
SOL,427,AUD,54,SOLAUD,1761868800,2025-10-31,281.54,290.60,280.40,286.50,284.04,689.58174660,340
SOL,427,CAD,97,SOLCAD,1761868800,2025-10-31,258.05,266.08,256.88,263.01,260.86,2106.82974304,1542
SOL,427,ETH,163,SOLETH,1761868800,2025-10-31,0.048511,0.049014,0.048186,0.048601,0.048596,1538.22606206,348
SOL,427,EUR,167,SOLEUR,1761868800,2025-10-31,159.63,164.98,158.94,162.61,161.65,45928.94871278,10173
SOL,427,EURC,168,SOLEURC,1761868800,2025-10-31,160.46,160.74,159.06,160.74,160.58,13.68663323,4
SOL,427,GBP,194,SOLGBP,1761868800,2025-10-31,140.37,144.86,139.76,142.71,141.98,7684.39199837,3058
SOL,427,USD,490,SOLUSD,1761868800,2025-10-31,184.64,190.06,183.64,187.60,186.36,196680.88828703,19011
SOL,427,USD1,491,SOLUSD1,1761868800,2025-10-31,186.93,187.15,186.27,187.15,186.60,1.23313124,3
SOL,427,USDC,492,SOLUSDC,1761868800,2025-10-31,184.23,190.04,183.84,187.62,186.62,12819.49860253,2158
