from,indexvertexfrom,to,indexvertexto,altname,unixtimestamp,date,open,high,low,close,vwap,volume,count
LINEA,261,EUR,167,LINEAEUR,1761868800,2025-10-31,0.01073,0.01094,0.01051,0.01071,0.01081,656345.05237,18
LINEA,261,USD,490,LINEAUSD,1761868800,2025-10-31,0.01242,0.01280,0.01211,0.01251,0.01249,2780463.57091,258
LINK,262,AUD,54,LINKAUD,1761868800,2025-10-31,25.609,26.548,25.593,25.982,25.907,530.48108620,38
LINK,262,ETH,163,LINKETH,1761868800,2025-10-31,0.00442280,0.00449939,0.00437938,0.00448129,0.00445619,2492.49929744,91
LINK,262,EUR,167,LINKEUR,1761868800,2025-10-31,14.53188,15.12786,14.48101,14.97141,14.82696,54046.52221313,2168
LINK,262,GBP,194,LINKGBP,1761868800,2025-10-31,12.827,13.233,12.823,13.174,13.029,1683.36296293,144
LINK,262,JPY,234,LINKJPY,1761868800,2025-10-31,2607.8,2607.8,2604.3,2604.3,2607.7,23.13654977,6
LINK,262,USD,490,LINKUSD,1761868800,2025-10-31,16.80122,17.44318,16.74788,17.33301,17.13339,288199.32114643,5659
LINK,262,USDC,492,LINKUSDC,1761868800,2025-10-31,16.80974,17.44025,16.77376,17.28446,17.06843,9121.87501643,365
LINK,262,USDT,499,LINKUSDT,1761868800,2025-10-31,16.77169,17.43886,16.75843,17.23091,17.05095,3851.62486741,546
LINK,262,XBT,529,LINKXBT,1761868800,2025-10-31,0.00015496,0.00015787,0.00015361,0.00015780,0.00015603,2619.09168302,166
LION,263,EUR,167,LIONEUR,1761868800,2025-10-31,0.009335,0.009700,0.009296,0.009497,0.009685,50615.73790,5
LION,263,USD,490,LIONUSD,1761868800,2025-10-31,0.010750,0.015000,0.010557,0.010593,0.010841,945520.17879,66
LIT,264,EUR,167,LITEUR,1761868800,2025-10-31,0.2094,0.2180,0.2020,0.2180,0.2074,8407.62586,25
LIT,264,USD,490,LITUSD,1761868800,2025-10-31,0.2352,0.2472,0.2272,0.2337,0.2357,47091.16995,254
LMWR,265,EUR,167,LMWREUR,1761868800,2025-10-31,0.0457,0.0477,0.0453,0.0477,0.0465,117759.14506,137
LMWR,265,USD,490,LMWRUSD,1761868800,2025-10-31,0.0528,0.0562,0.0528,0.0562,0.0536,719180.82565,356
LOBO,266,EUR,167,LOBOEUR,0,1970-01-01,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.00000,0
LOBO,266,USD,490,LOBOUSD,1761868800,2025-10-31,0.0002380,0.0002458,0.0002330,0.0002382,0.0002392,28687453.54171,636
LOCKIN,267,EUR,167,LOCKINEUR,1761868800,2025-10-31,0.00448,0.00465,0.00403,0.00413,0.00445,665430.43365,199
