altname,wsname,indexofslash,from,to,quote,indexvertexfrom,indexvertexto
NOTEUR,NOT/EUR,3,NOT,EUR,ZEUR,324,167
NOTUSD,NOT/USD,3,NOT,USD,ZUSD,324,490
NPCEUR,NPC/EUR,3,NPC,EUR,ZEUR,325,167
NPCUSD,NPC/USD,3,NPC,USD,ZUSD,325,490
NTRNEUR,NTRN/EUR,4,NTRN,EUR,ZEUR,326,167
NTRNUSD,NTRN/USD,4,NTRN,USD,ZUSD,326,490
NYMEUR,NYM/EUR,3,NYM,EUR,ZEUR,327,167
NYMUSD,NYM/USD,3,NYM,USD,ZUSD,327,490
OCEANEUR,OCEAN/EUR,5,OCEAN,EUR,ZEUR,328,167
OCEANUSD,OCEAN/USD,5,OCEAN,USD,ZUSD,328,490
ODOSEUR,ODOS/EUR,4,ODOS,EUR,ZEUR,329,167
ODOSUSD,ODOS/USD,4,ODOS,USD,ZUSD,329,490
OGNEUR,OGN/EUR,3,OGN,EUR,ZEUR,330,167
OGNUSD,OGN/USD,3,OGN,USD,ZUSD,330,490
OMEUR,OM/EUR,2,OM,EUR,ZEUR,331,167
