altname,wsname,indexofslash,from,to,quote,indexvertexfrom,indexvertexto
FLOWEUR,FLOW/EUR,4,FLOW,EUR,ZEUR,182,167
FLOWUSD,FLOW/USD,4,FLOW,USD,ZUSD,182,490
FLREUR,FLR/EUR,3,FLR,EUR,ZEUR,183,167
FLRUSD,FLR/USD,3,FLR,USD,ZUSD,183,490
FLUXEUR,FLUX/EUR,4,FLUX,EUR,ZEUR,184,167
FLUXUSD,FLUX/USD,4,FLUX,USD,ZUSD,184,490
FLYEUR,FLY/EUR,3,FLY,EUR,ZEUR,185,167
FLYUSD,FLY/USD,3,FLY,USD,ZUSD,185,490
FORTHEUR,FORTH/EUR,5,FORTH,EUR,ZEUR,186,167
FORTHUSD,FORTH/USD,5,FORTH,USD,ZUSD,186,490
FWOGEUR,FWOG/EUR,4,FWOG,EUR,ZEUR,187,167
FWOGUSD,FWOG/USD,4,FWOG,USD,ZUSD,187,490
FXSEUR,FXS/EUR,3,FXS,EUR,ZEUR,188,167
FXSUSD,FXS/USD,3,FXS,USD,ZUSD,188,490
GAIAEUR,GAIA/EUR,4,GAIA,EUR,ZEUR,190,167
GAIAUSD,GAIA/USD,4,GAIA,USD,ZUSD,190,490
GALAEUR,GALA/EUR,4,GALA,EUR,ZEUR,192,167
GALAUSD,GALA/USD,4,GALA,USD,ZUSD,192,490
GALEUR,GAL/EUR,3,GAL,EUR,ZEUR,191,167
GALUSD,GAL/USD,3,GAL,USD,ZUSD,191,490
GARIEUR,GARI/EUR,4,GARI,EUR,ZEUR,193,167
GARIUSD,GARI/USD,4,GARI,USD,ZUSD,193,490
GEUR,G/EUR,1,G,EUR,ZEUR,189,167
GFIEUR,GFI/EUR,3,GFI,EUR,ZEUR,195,167
GFIUSD,GFI/USD,3,GFI,USD,ZUSD,195,490
GHIBLIEUR,GHIBLI/EUR,6,GHIBLI,EUR,ZEUR,196,167
GHIBLIUSD,GHIBLI/USD,6,GHIBLI,USD,ZUSD,196,490
GHSTEUR,GHST/EUR,4,GHST,EUR,ZEUR,197,167
GHSTUSD,GHST/USD,4,GHST,USD,ZUSD,197,490
GIGAEUR,GIGA/EUR,4,GIGA,EUR,ZEUR,198,167
GIGAUSD,GIGA/USD,4,GIGA,USD,ZUSD,198,490
GLMREUR,GLMR/EUR,4,GLMR,EUR,ZEUR,199,167
GLMRUSD,GLMR/USD,4,GLMR,USD,ZUSD,199,490
GMTEUR,GMT/EUR,3,GMT,EUR,ZEUR,200,167
GMTUSD,GMT/USD,3,GMT,USD,ZUSD,200,490
GMXEUR,GMX/EUR,3,GMX,EUR,ZEUR,201,167
GMXUSD,GMX/USD,3,GMX,USD,ZUSD,201,490
GNOEUR,GNO/EUR,3,GNO,EUR,ZEUR,202,167
GNOUSD,GNO/USD,3,GNO,USD,ZUSD,202,490
GOATEUR,GOAT/EUR,4,GOAT,EUR,ZEUR,203,167
GOATUSD,GOAT/USD,4,GOAT,USD,ZUSD,203,490
GOMININGEUR,GOMINING/EUR,8,GOMINING,EUR,ZEUR,204,167
GOMININGUSD,GOMINING/USD,8,GOMINING,USD,ZUSD,204,490
GRASSEUR,GRASS/EUR,5,GRASS,EUR,ZEUR,205,167
GRASSUSD,GRASS/USD,5,GRASS,USD,ZUSD,205,490
GRIFFAINEUR,GRIFFAIN/EUR,8,GRIFFAIN,EUR,ZEUR,206,167
GRIFFAINUSD,GRIFFAIN/USD,8,GRIFFAIN,USD,ZUSD,206,490
GRTEUR,GRT/EUR,3,GRT,EUR,ZEUR,207,167
GRTGBP,GRT/GBP,3,GRT,GBP,ZGBP,207,194
GRTUSD,GRT/USD,3,GRT,USD,ZUSD,207,490
GRTXBT,GRT/XBT,3,GRT,XBT,XXBT,207,529
GSTEUR,GST/EUR,3,GST,EUR,ZEUR,208,167
GSTUSD,GST/USD,3,GST,USD,ZUSD,208,490
GTCEUR,GTC/EUR,3,GTC,EUR,ZEUR,209,167
GTCUSD,GTC/USD,3,GTC,USD,ZUSD,209,490
GUNEUR,GUN/EUR,3,GUN,EUR,ZEUR,210,167
GUNUSD,GUN/USD,3,GUN,USD,ZUSD,210,490
GUSD,G/USD,1,G,USD,ZUSD,189,490
HBAREUR,HBAR/EUR,4,HBAR,EUR,ZEUR,212,167
HBARUSD,HBAR/USD,4,HBAR,USD,ZUSD,212,490
HDXEUR,HDX/EUR,3,HDX,EUR,ZEUR,213,167
HDXUSD,HDX/USD,3,HDX,USD,ZUSD,213,490
HEUR,H/EUR,1,H,EUR,ZEUR,211,167
HFTEUR,HFT/EUR,3,HFT,EUR,ZEUR,214,167
HFTUSD,HFT/USD,3,HFT,USD,ZUSD,214,490
HIPPOEUR,HIPPO/EUR,5,HIPPO,EUR,ZEUR,215,167
HIPPOUSD,HIPPO/USD,5,HIPPO,USD,ZUSD,215,490
HMSTREUR,HMSTR/EUR,5,HMSTR,EUR,ZEUR,216,167
HMSTRUSD,HMSTR/USD,5,HMSTR,USD,ZUSD,216,490
HNTEUR,HNT/EUR,3,HNT,EUR,ZEUR,217,167
